52.64373, 19.19789, 50@ PL-Modzerowo Fix Speedcam
52.88185, 21.32492, 50@ PL-Zaluzie Fix Speedcam
51.17473, 19.46548, 50@ PL-Slostowice Fix Speedcam
50.67268, 17.95555, 50@ PL-Opole Fix Speedcam
52.15260, 18.20477, 50@ PL-Modla Krolewska Fix Speedcam
51.91955, 15.97745, 50@ PL-Lubiatow Fix Speedcam
50.33504, 19.22593, 50@ Dabrowa Górnicza Fix Speedcam
50.12513, 18.65455, 50@ PL-Przegedza Fix Speedcam
50.40467, 16.39662, 50@ PL-Duszniki Zdroj Fix Speedcam
52.86747, 18.36528, 50@ PL-Wierzchoslawice Fix Speedcam
50.75613, 22.32808, 50@ PL-Modliborzyce Fix Speedcam
52.32254, 17.66890, 50@ PL-Wegierki Fix Speedcam
53.71881, 19.94837, 50@ PL-Czerwona Karczma Fix Speedcam
52.47830, 14.64439, 50@ PL-Owczary Fix Speedcam
51.68681, 15.74397, 50@ PL-Nowe Miaszteczko Fix Speedcam
50.75136, 22.33391, 50@ PL-Polska Fix Speedcam
50.27058, 18.53526, 40@ Sosnicowice DW 408 Fix Speedcam
53.77540, 18.95124, 50@ PL-Polska Fix Speedcam
50.05714, 18.50865, 50@ PL-Rybnik Fix Speedcam
50.15485, 19.17930, 50@ PL-Imielin Fix Speedcam
52.45990, 16.64882, 50@ PL-Tarnowo Podgorne Fix Speedcam
52.58326, 15.00962, 40@ Krzeszyce DK 22 Fix Speedcam
49.72830, 19.50871, 50@ PL-Stachówka DW 946 Fix Speedcam
53.43898, 14.53448, 50@ Szczecin DW115 Fix Speedcam
54.38725, 18.59111, 50@ PL-Gdansk Fix Speedcam
51.58803, 17.82450, 50@ PL-Polska Fix Speedcam
50.46746, 20.75184, 50@ PL-Bronina Fix Speedcam
52.84011, 20.50306, 50@ PL-Polska Fix Speedcam
49.55631, 21.68342, 50@ PL-Dukla Fix Speedcam
54.08907, 21.37297, 50@ PL-Ketrzyn Fix Speedcam
51.10772, 19.38943, 70@ PL-Stobiecko Szlachecie Fix Speedcam
50.06825, 22.37412, 50@ Rogózno DK 4 Fix Speedcam
52.46887, 16.68375, 40@ Tarnowo Podgórne Fix Speedcam
50.01753, 18.57719, 50@ PL-Polska Fix Speedcam
52.19654, 20.41428, 50@ PL-Polska Fix Speedcam
51.25349, 22.55191, 50@ PL-Lublin Fix Speedcam
49.76189, 19.07273, 70@ PL-Bystra Fix Speedcam
50.72806, 21.27344, 50@ PL-Iwaniska Fix Speedcam
50.05748, 21.63087, 50@ Ropczyce DK 4 Fix Speedcam
50.76345, 19.16323, 70@ PL-Czestochowa Fix Speedcam
50.87542, 19.06373, 50@ PL-Biala Fix Speedcam
54.14556, 18.02509, 70@ Koscierska Huta DK 20 Fix Speedcam
53.23981, 21.46306, 50@ PL-Kadzidlo Fix Speedcam
52.20728, 18.67007, 50@ PL-Kolo Fix Speedcam
